system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,0.0,1.0,0.0,0.0201,0.23692308,0.0124,0.0833,0.1009,0.0716,-0.0755326,0.0645,0.0323,0.0333,0.0291,0.0258,0.40240964,1.608,0.0,0.68835616,0.8585132,0.40240964,0.18292683,-0.42857143,-0.42204568,0.40585774,2.328,0.7089109,0.1990099,0.68835616,0.6138614,0.28033474,0.0,-31.762342,-21.62236,10.139982,21.604482583074493,89.87644417615812,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.87644417615812,21.604482583074493]}"
1,0.0,1.0,0.0,0.022928571,0.21223564,0.0149,0.08536,0.09834,0.06745,-0.11720437,0.0611,0.0369,0.0387,0.03282222,0.03094,0.37555298,1.5285715,0.0,0.69644666,0.7892581,0.37555298,0.17746206,-0.32768363,-0.3453377,0.48589522,2.1881483,0.68518895,0.23291926,0.69644666,0.6470223,0.3394311,0.0,-31.574438,-20.355522,11.218916,21.604482583074493,89.96627570457008,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.96627570457008,21.604482583074493]}"
2,0.0,1.0,0.0,0.0255,0.23486683,0.0158,0.0929,0.101,0.0685,-0.1511772,0.0566,0.036,0.0394,0.0323,0.0315,0.34303534,1.6037736,0.0,0.787037,0.73655915,0.34303534,0.11764706,-0.28490353,-0.35912699,0.4708455,2.0314465,0.677547,0.25222552,0.787037,0.6171875,0.3717201,0.0,-32.09647,-19.092594,13.003875,21.604482583074493,90.05610723298203,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.05610723298203,21.604482583074493]}"
3,0.0,1.0,0.0,0.027714286,0.21693675,0.017833333,0.09844286,0.11047143,0.09154,-0.036334105,0.08108,0.046814285,0.04874,0.039485715,0.039383333,0.37775192,1.5454062,0.0,0.7001083,0.92893595,0.37775192,0.17517006,-0.34613577,-0.397283,0.43087858,2.2018056,0.82788116,0.250646,0.7001083,0.6411573,0.30242565,0.0,-32.203136,-18.770065,13.43307,21.604482583074493,90.14593876139398,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.14593876139398,21.604482583074493]}"
4,0.0,1.0,0.0,0.029533334,0.23548894,0.018275,0.10056667,0.11343333,0.08745,-0.06976332,0.07532,0.0461,0.0494,0.0421,0.04352,0.394617,1.6072563,0.0,0.69984204,0.8687086,0.394617,0.17543043,-0.26758668,-0.3500579,0.48086807,2.2911565,0.77025837,0.26012918,0.69984204,0.61670417,0.33733106,0.0,-31.196964,-21.213207,9.983758,21.604482583074493,90.32560181821789,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.32560181821789,21.604482583074493]}"
5,0.0,1.0,0.0,0.02695,0.15048026,0.0199,0.10636,0.122,0.0983,-0.03938239,0.0914,0.0589,0.06166,0.0527,0.05226667,0.45179063,1.3475,0.0,0.5104167,0.92335147,0.45179063,0.3232894,-0.2723898,-0.30198675,0.53556913,2.635,0.8050778,0.22072072,0.5104167,0.7356747,0.27388212,0.0,-31.512444,-21.770493,9.741951,21.604482583074493,90.41543334662984,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.41543334662984,21.604482583074493]}"
6,0.0,1.0,0.0,0.02642,0.21555096,0.01705,0.099575,0.11725,0.0869,-0.06797158,0.07638333,0.042625,0.045733333,0.04097143,0.0395,0.4122861,1.5405248,0.0,0.64326954,0.87183344,0.4122861,0.21592402,-0.3182799,-0.35917774,0.47093597,2.3890045,0.7405198,0.22513847,0.64326954,0.642911,0.30367815,0.0,-32.71346,-21.232893,11.480564,21.604482583074493,90.50526487504179,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.50526487504179,21.604482583074493]}"
7,0.0,1.0,0.0,0.02262,0.1389728,0.0171,0.1023,0.1223,0.10615,0.018469658,0.09845,0.0574,0.0587,0.05065,0.04505,0.49520296,1.3151163,0.0,0.4457143,1.0366211,0.49520296,0.38255766,-0.37212545,-0.35395408,0.47670588,2.9447675,0.8672386,0.18480392,0.4457143,0.75264084,0.21289411,0.0,-33.89346,-21.814863,12.078594,21.604482583074493,90.68492793186569,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.68492793186569,21.604482583074493]}"
8,0.0,1.0,0.0,0.0206,0.14338575,0.015433333,0.10335,0.1208,0.1089,0.02614841,0.0969,0.0629,0.0613,0.0616,0.05,0.59930766,1.3261802,0.0,0.33387357,1.0526824,0.59930766,0.49878347,-0.3192648,-0.27741936,0.5651376,3.9656653,0.90074444,0.17038876,0.33387357,0.7455717,0.18899083,0.0,-34.860294,-22.366692,12.493601,21.604482583074493,90.77475946027765,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77475946027765,21.604482583074493]}"
9,0.0,1.0,0.0,0.0211,0.09752926,0.01735,0.102975,0.123566665,0.1066,0.01729691,0.0923,0.0533,0.0562,0.053,0.04665,0.50675195,1.209169,0.0,0.39736345,1.0341984,0.50675195,0.43049932,-0.32853544,-0.3358396,0.49671978,3.0372493,0.8619946,0.17061995,0.39736345,0.8183962,0.1977507,0.0,-34.593338,-22.302788,12.290549,21.604482583074493,90.8645909886896,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8645909886896,21.604482583074493]}"
