date,mine,mine_type,target_mt,actual_mt,shortfall_mt,shortfall_pct,equipment_downtime_hours,rainfall_mm,blasting_delay_hours,maintenance_hours,equipment_availability,production_ratio
2021-01-01,Balaghat,Underground,42600,43570,0,0.0,2.7,6.3,2.7,17.9,0.9016,1.0228
2021-01-01,Dongri Buzurg,Opencast,35800,33590,2210,6.17,22.3,0.0,5.5,33.8,0.8001,0.9383
2021-01-01,Chikla,Underground,16800,16870,0,0.0,12.0,0.0,2.6,15.8,0.8735,1.0042
2021-01-01,Tirodi,Opencast,14600,13920,680,4.66,19.3,0.0,3.2,18.2,0.8704,0.9534
2021-01-01,Gumgaon,Underground,12300,12600,0,0.0,5.1,5.3,2.9,30.3,0.8797,1.0244
2021-01-01,Kandri,Opencast,11200,10660,540,4.82,29.9,0.0,0.5,16.9,0.8312,0.9518
2021-01-01,Mansar,Opencast,9500,9460,40,0.42,8.1,0.0,2.3,24.2,0.9051,0.9958
2021-01-01,Ukwa,Underground,10600,7680,2920,27.55,94.4,41.1,7.7,21.2,0.62,0.7245
2021-02-01,Balaghat,Underground,42600,39470,3130,7.35,24.7,0.0,0.8,22.0,0.8142,0.9265
2021-02-01,Dongri Buzurg,Opencast,35800,35640,160,0.45,11.2,0.0,2.8,16.8,0.8716,0.9955
2021-02-01,Chikla,Underground,16800,16730,70,0.42,19.0,0.0,2.2,12.5,0.8569,0.9958
2021-02-01,Tirodi,Opencast,14600,14240,360,2.47,19.2,6.9,0.2,10.6,0.8924,0.9753
2021-02-01,Gumgaon,Underground,12300,11390,910,7.4,21.1,0.9,1.7,34.4,0.8008,0.926
2021-02-01,Kandri,Opencast,11200,10550,650,5.8,28.0,10.2,20.0,24.8,0.8064,0.942
2021-02-01,Mansar,Opencast,9500,9010,490,5.16,20.1,0.0,20.2,25.0,0.83,0.9484
2021-02-01,Ukwa,Underground,10600,9990,610,5.75,39.9,0.0,1.4,11.6,0.8054,0.9425
2021-03-01,Balaghat,Underground,42600,40620,1980,4.65,21.8,0.0,0.4,32.7,0.789,0.9535
2021-03-01,Dongri Buzurg,Opencast,35800,32750,3050,8.52,37.4,22.5,3.2,21.2,0.7979,0.9148
